input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Kare+Bir+%C3%96zel+Yabanc%C4%B1+Dil+Kursu/data=!4m7!3m6!1s0x14caa765c78ffd8d:0xe53cfa5278932c9!8m2!3d41.0621711!4d28.6824675!16s%2Fg%2F11dfj4_x3r!19sChIJjf2Px2WnyhQRyTKJJ6XPUw4?authuser=0&hl=en&rclk=1,Kare Bir Özel Yabancı Dil Kursu,School center,"Bahçeşehir, Esenkent, Enverpaşa Cd No:46, 34510 Esenyurt/İstanbul, Türkiye",{},{},http://www.squareone.com.tr/,+90 212 672 07 71,"3M6J+VX Esenyurt, İstanbul, Türkiye",8,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":8}",41.062171,28.682467,1032397047837831881,,,,https://lh3.googleusercontent.com/p/AF1QipPMjhSqRXONE47K3hsSyCLv5fbqxg8HPQGLZsQ3=w408-h544-k-no,Europe/Istanbul,,0x14caa765c78ffd8d:0xe53cfa5278932c9,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPMjhSqRXONE47K3hsSyCLv5fbqxg8HPQGLZsQ3=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNDu01Ok3vEP62t42k5u0y-o6Dft2yisSj62yqL=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xIM76iEU7P2fxErKRVoxDw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=139.70218\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""103452456839190012646"",""name"":""Kare Bir Özel Yabancı Dil Kursu (Owner)"",""link"":""https://www.google.com/maps/contrib/103452456839190012646""}","{""borough"":""Esenkent"",""street"":""Bahçeşehir, Enverpaşa Cd No:46"",""city"":""Esenyurt"",""postal_code"":""34510"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Eduface+English+Beylikd%C3%BCz%C3%BC+-+%C4%B0ngilizce+Kursu+-+Almanca+Kursu/data=!4m7!3m6!1s0x14b55f77022e36a7:0x862d4c7224ea36da!8m2!3d41.0183211!4d28.6322027!16s%2Fg%2F11h093hj2v!19sChIJpzYuAndftRQR2jbqJHJMLYY?authuser=0&hl=en&rclk=1,Eduface English Beylikdüzü - İngilizce Kursu - Almanca Kursu,Language school,"Beykent Metrobüs Durağı Önü, İstanbul Park Avm İş Merkezi Kat:3 D:97- 98, 34500 büyükçemkece/İstanbul, Türkiye",{},{},https://www.edufaceenglish.com/,+90 212 526 26 26,"2J9J+8V Büyükçekmece, İstanbul, Türkiye",23,4.500000,"{""1"":3,""2"":0,""3"":0,""4"":0,""5"":20}",41.018321,28.632203,9668468028163634906,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cRHJ73yq-C1kVClovXfJtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.55264&pitch=0&thumbfov=100,Europe/Istanbul,,0x14b55f77022e36a7:0x862d4c7224ea36da,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cRHJ73yq-C1kVClovXfJtw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=206.55264\u0026pitch=0\u0026thumbfov=100""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPNF4VPpLEoUKsjq-_ImCjPZFGVa_d0TUzo0ykv=w298-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPNF4VPpLEoUKsjq-_ImCjPZFGVa_d0TUzo0ykv=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cRHJ73yq-C1kVClovXfJtw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=206.55264\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.edufaceenglish.com/"",""source"":""edufaceenglish.com""}]","{""link"":"""",""source"":""""}","{""id"":""110447599222016687547"",""name"":""Eduface English Beylikdüzü - İngilizce Kursu - Almanca Kursu (Owner)"",""link"":""https://www.google.com/maps/contrib/110447599222016687547""}","{""borough"":""Cumhuriyet"",""street"":""Beykent Metrobüs Durağı Önü, İstanbul Park Avm İş Merkezi Kat:3 D:97- 98"",""city"":""büyükçemkece"",""postal_code"":""34500"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Beylikd%C3%BCz%C3%BC+%C4%B0ngilizce+Kursu+-+TEOL+Beylikd%C3%BCz%C3%BC+Dil+Okulu+%C5%9Eubesi/data=!4m7!3m6!1s0x14b55f0019ccee09:0x828f83bafde66c82!8m2!3d41.0170211!4d28.6271347!16s%2Fg%2F1ptywqcgp!19sChIJCe7MGQBftRQRgmzm_bqDj4I?authuser=0&hl=en&rclk=1,Beylikdüzü İngilizce Kursu - TEOL Beylikdüzü Dil Okulu Şubesi,Language school,"Keleş Plaza, Cumhuriyet, Gurpinar Road, 34528 Büyükçekmece/İstanbul, Türkiye",{},{},http://www.teol.com.tr/,+90 850 611 0496,"2J8G+RV Büyükçekmece, İstanbul, Türkiye",118,4.800000,"{""1"":5,""2"":1,""3"":2,""4"":2,""5"":108}",41.017021,28.627135,9407882985747147906,,,,https://lh3.googleusercontent.com/p/AF1QipNLdpURR3la5HWFPlnF_pyp50ot-yiNpR_80JhV=w408-h306-k-no,Europe/Istanbul,,0x14b55f0019ccee09:0x828f83bafde66c82,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNLdpURR3la5HWFPlnF_pyp50ot-yiNpR_80JhV=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipOS3XLfknw8kzIAd3NZ0OtFjEpcAyT7vngjfT1F=w224-h398-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNGSmVf9AW2QWlRjOb8VNDYit0zHioKFeuE61qv=w224-h398-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KGmvhSBVEdxyYDX5B8ahmg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=34.78899\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""116689478338668135218"",""name"":""Beylikdüzü İngilizce Kursu - TEOL Beylikdüzü Dil Okulu Şubesi (Owner)"",""link"":""https://www.google.com/maps/contrib/116689478338668135218""}","{""borough"":""Cumhuriyet"",""street"":""Keleş Plaza, Cumhuriyet, Gurpinar Road"",""city"":""Büyükçekmece"",""postal_code"":""34528"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Yabanc%C4%B1+Dil+Akademisi+Beylikd%C3%BCz%C3%BC/data=!4m7!3m6!1s0x14b55f8687f73f49:0xaff00c3bbcaf873e!8m2!3d41.0190723!4d28.6268029!16s%2Fg%2F11sd9dd5dy!19sChIJST_3h4ZftRQRPoevvDsM8K8?authuser=0&hl=en&rclk=1,Yabancı Dil Akademisi Beylikdüzü,Language school,"Kaya Millenium İş Merkezi, Cumhuriyet, Gürpınar Yolu Caddesi No:5, 34500 Beylikdüzü/İstanbul, Türkiye","{""Friday"":[""9 am–10 pm""],""Monday"":[""9 am–10 pm""],""Saturday"":[""9 am–8 pm""],""Sunday"":[""9 am–8 pm""],""Thursday"":[""9 am–10 pm""],""Tuesday"":[""9 am–10 pm""],""Wednesday"":[""9 am–10 pm""]}",{},https://www.yabancidilakademisi.com/,+90 212 872 73 73,"2J9G+JP Beylikdüzü, İstanbul, Türkiye",115,4.600000,"{""1"":8,""2"":1,""3"":2,""4"":4,""5"":100}",41.019072,28.626803,12677646401756170046,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxg7xoF7yd8nas-QHM21lElLnNXOaHeH_QpkZBlChQiqh20XExziZEBIEgxWzzcJIdi-dZG8yWS4wo8NSZ2oui38HpPFTn4xmxIovMO9UcQiarP13CQ7PRGBvqtEApakEBj6oa0sA=w408-h544-k-no,Europe/Istanbul,,0x14b55f8687f73f49:0xaff00c3bbcaf873e,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxg7xoF7yd8nas-QHM21lElLnNXOaHeH_QpkZBlChQiqh20XExziZEBIEgxWzzcJIdi-dZG8yWS4wo8NSZ2oui38HpPFTn4xmxIovMO9UcQiarP13CQ7PRGBvqtEApakEBj6oa0sA=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMni9CCAj_4qh3hyYwQBjruzDP35nmyqWL7DR8V=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iz0nxIXseqKJHzmLYDSdOw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=16.368357\u0026pitch=0\u0026thumbfov=100""}]",null,"[{""link"":""https://www.yabancidilakademisi.com/"",""source"":""yabancidilakademisi.com""}]","{""link"":"""",""source"":""""}","{""id"":""100721292366429441621"",""name"":""Yabancı Dil Akademisi Beylikdüzü (Owner)"",""link"":""https://www.google.com/maps/contrib/100721292366429441621""}","{""borough"":""Cumhuriyet"",""street"":""Kaya Millenium İş Merkezi, Gürpınar Yolu Caddesi No:5"",""city"":""Beylikdüzü"",""postal_code"":""34500"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true},{""name"":""Wheelchair-accessible seating"",""enabled"":true},{""name"":""Wheelchair-accessible toilet"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral toilets"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Amerikan+K%C3%BClt%C3%BCr+Dil+Okullar%C4%B1+Beylikd%C3%BCz%C3%BC/data=!4m7!3m6!1s0x14b55f3dc911dc53:0x991988971cc71b4a!8m2!3d41.017814!4d28.6275818!16s%2Fg%2F11fwvt2_cc!19sChIJU9wRyT1ftRQRShvHHJeIGZk?authuser=0&hl=en&rclk=1,Amerikan Kültür Dil Okulları Beylikdüzü,Educational institution,"Cumhuriyet Mh. Gürpınar Yolu Cd Beykent İş Merkezi No:8 /376 Beylikdüzü, 34520 Büyükçekmece/İstanbul, Türkiye","{""Friday"":[""9 am–9 pm""],""Monday"":[""9 am–9 pm""],""Saturday"":[""9 am–9 pm""],""Sunday"":[""9 am–9 pm""],""Thursday"":[""9 am–9 pm""],""Tuesday"":[""9 am–9 pm""],""Wednesday"":[""9 am–9 pm""]}",{},https://www.amerikankulturbeylikduzu.com/,+90 212 871 43 40,"2J9H+42 Büyükçekmece, İstanbul, Türkiye",90,4.600000,"{""1"":7,""2"":3,""3"":0,""4"":0,""5"":80}",41.017814,28.627582,11031998944824990538,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVtTNgL85jxmSWDYDVaOSD3PRXYJEEk25YFurzHgosJ0G4hgY9lgOYSW0yz6-pHvBNf4jwPax9ELulPKvgZrReajtJtv-frIc2FXpqsrzTJNnwfR9NqOnwEF1yh3Np-gWGRPRL=w408-h544-k-no,Europe/Istanbul,,0x14b55f3dc911dc53:0x991988971cc71b4a,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVtTNgL85jxmSWDYDVaOSD3PRXYJEEk25YFurzHgosJ0G4hgY9lgOYSW0yz6-pHvBNf4jwPax9ELulPKvgZrReajtJtv-frIc2FXpqsrzTJNnwfR9NqOnwEF1yh3Np-gWGRPRL=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JvFdNslcIowlAAOsT0rtHQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=99.03968\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""111188120929319543588"",""name"":""Amerikan Kültür Dil Okulları Beylikdüzü (Owner)"",""link"":""https://www.google.com/maps/contrib/111188120929319543588""}","{""borough"":""Cumhuriyet"",""street"":""Cumhuriyet Mh. Gürpınar Yolu Cd Beykent İş Merkezi No:8 /376 Beylikdüzü"",""city"":""Büyükçekmece"",""postal_code"":""34520"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral toilets"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""On-site parking"",""enabled"":true},{""name"":""Paid multi-storey car park"",""enabled"":true},{""name"":""Paid parking lot"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Early+American+%C4%B0ngilizce/data=!4m7!3m6!1s0x14b55fbc9145ff3b:0xd8059bebc7c0e356!8m2!3d41.0160738!4d28.6272329!16s%2Fg%2F11g6qtpncs!19sChIJO_9FkbxftRQRVuPAx-ubBdg?authuser=0&hl=en&rclk=1,Early American İngilizce,English language school,"Adnan Kahveci Mahallesi Yavuz Sultan Selim Bulvarı Perla Vista Residence B Blok Kat:8 No:67, 34520 Beylikdüzü/İstanbul, Türkiye","{""Friday"":[""9 am–7 pm""],""Monday"":[""9 am–8 pm""],""Saturday"":[""8:30 am–7 pm""],""Sunday"":[""8:30 am–5 pm""],""Thursday"":[""9 am–7 pm""],""Tuesday"":[""9 am–7 pm""],""Wednesday"":[""9 am–8 pm""]}",{},,+90 212 853 80 80,"2J8G+CV Beylikdüzü, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.016074,28.627233,15566019124046914390,,,,https://lh3.googleusercontent.com/p/AF1QipMOa7d5xmuWd1-0xkaQjnERDfNd7jJOHS2f4iNw=w408-h306-k-no,Europe/Istanbul,,0x14b55fbc9145ff3b:0xd8059bebc7c0e356,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMOa7d5xmuWd1-0xkaQjnERDfNd7jJOHS2f4iNw=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPcvJrcKj07lSOS0KWrepNtvm_3Fx8qENePHBAp=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPHOPQXaQIVwHd4MRIC7Y-cQG-Va4HYPA_w8NOeuTfTMYgK5zuDH6sII82TXq4_PcvAumFlLXUT5wR3srWuLEjO1nVQhYL8XQG2dgcvVOExvNgydXyQI7x9YkvCvKsAGoDv3SD=w224-h298-k-no-pi0-ya300-ro-0-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""108491429980392140574"",""name"":""Early American İngilizce (Owner)"",""link"":""https://www.google.com/maps/contrib/108491429980392140574""}","{""borough"":""Adnan Kahveci"",""street"":""Adnan Kahveci Mahallesi Yavuz Sultan Selim Bulvarı Perla Vista Residence B Blok Kat:8 No:67"",""city"":""Beylikdüzü"",""postal_code"":""34520"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":true}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Esprofessional+Culture+Course/data=!4m7!3m6!1s0x14b55fa136b9178b:0xd2720b792d564b39!8m2!3d41.0184636!4d28.6316013!16s%2Fg%2F11xggl0czd!19sChIJixe5NqFftRQROUtWLXkLctI?authuser=0&hl=en&rclk=1,Esprofessional Culture Course,Foreign languages program school,"İstanbul Outlet Park Büyükçekmece, Cumhuriyet, 34520 Beylikdüzü/İstanbul, Türkiye",{},{},https://www.esaprofessional.com/,+90 541 124 91 99,"2J9J+9J Beylikdüzü, İstanbul, Türkiye",4,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":4}",41.018464,28.631601,15164195510389459769,,,,https://lh3.googleusercontent.com/p/AF1QipOAuVKptGfwnY5hFDtEW4BIdV6MvbezlGVZq59o=w408-h306-k-no,Europe/Istanbul,,0x14b55fa136b9178b:0xd2720b792d564b39,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipOAuVKptGfwnY5hFDtEW4BIdV6MvbezlGVZq59o=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMX8yjS-pyt6lwQJBnoQFNrSoTVzgO1F2AxiLJM=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VxEh_lMLF1NJAZvt5oclCQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=207.46786\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""116147585964376692388"",""name"":""Esprofessional Culture Course (Owner)"",""link"":""https://www.google.com/maps/contrib/116147585964376692388""}","{""borough"":""Cumhuriyet"",""street"":""İstanbul Outlet Park Büyükçekmece"",""city"":""Beylikdüzü"",""postal_code"":""34520"",""state"":""İstanbul"",""country"":""TR""}",null,[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/Oxford+Way+Dil+Okulu/data=!4m7!3m6!1s0x14b55fbe638391df:0x60093ffa068a6115!8m2!3d41.0171504!4d28.6469796!16s%2Fg%2F11s9xmdybq!19sChIJ35GDY75ftRQRFWGKBvo_CWA?authuser=0&hl=en&rclk=1,Oxford Way Dil Okulu,Language school,"Cumhuriyet Mah. Şehitler Cad. Concepta Plaza B Blok Kat: 4, 34515 Esenyurt/İstanbul, Türkiye",{},{},http://www.oxfordwaydilokulu.com/,+90 506 180 13 50,"2J8W+VQ Esenyurt, İstanbul, Türkiye",36,4.900000,"{""1"":1,""2"":0,""3"":0,""4"":0,""5"":35}",41.017150,28.646980,6920132645515583765,,,,https://lh3.googleusercontent.com/p/AF1QipPp6NtVRXKS5TdVVhoaqIbeWi-7OXpx-3jLJT8=w408-h544-k-no,Europe/Istanbul,,0x14b55fbe638391df:0x60093ffa068a6115,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipPp6NtVRXKS5TdVVhoaqIbeWi-7OXpx-3jLJT8=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipO5r_J5X3d__de-wetMV_sFdCB0VdV-Ak3GV9A=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M1w5Z6cu_No6j23kVZnsFQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=200.3225\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""107215344457240156662"",""name"":""Oxford Way Dil Okulu (Owner)"",""link"":""https://www.google.com/maps/contrib/107215344457240156662""}","{""borough"":""Cumhuriyet"",""street"":""Cumhuriyet Mah. Şehitler Cad. Concepta Plaza B Blok Kat: 4"",""city"":""Esenyurt"",""postal_code"":""34515"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/%C4%B0ngiliz+Akademi+Dil+Okullar%C4%B1+Beylikd%C3%BCz%C3%BC+%C4%B0ngilizce+Almanca+Rus%C3%A7a+%C4%B0spanyolca+Frans%C4%B1zca+Arap%C3%A7a+TOEFL+IELTS+YDS+SAT/data=!4m7!3m6!1s0x14b55f05c3815b51:0xb793a5be3bc62298!8m2!3d41.0062345!4d28.6631749!16s%2Fg%2F11fs0t8kv_!19sChIJUVuBwwVftRQRmCLGO76lk7c?authuser=0&hl=en&rclk=1,İngiliz Akademi Dil Okulları Beylikdüzü İngilizce Almanca Rusça İspanyolca Fransızca Arapça TOEFL IELTS YDS SAT,Language school,"Yakuplu, 67. Sk. No:9, 34520 Beylikdüzü/İstanbul, Türkiye",{},{},http://www.ingilizakademi.com.tr/,+90 212 697 07 77,"2M47+F7 Beylikdüzü, İstanbul, Türkiye",183,4.800000,"{""1"":8,""2"":2,""3"":0,""4"":4,""5"":169}",41.006234,28.663175,13228098766982488728,,,,https://lh3.googleusercontent.com/p/AF1QipMPKy7N5O3BYlk84a2kJxrE7JCoH659v23sdn1b=w408-h306-k-no,Europe/Istanbul,,0x14b55f05c3815b51:0xb793a5be3bc62298,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMPKy7N5O3BYlk84a2kJxrE7JCoH659v23sdn1b=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNkZF3XN78gh9Xnwt51mz4UTnSSwlug0mBm86Ho=w298-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNMPYXfOZ6TylHdvo2OtpQUr6Y0hXg4DOyMYPDI=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""109633955484973586092"",""name"":""İngiliz Akademi Dil Okulları Beylikdüzü İngilizce Almanca Rusça İspanyolca Fransızca Arapça TOEFL IELTS YDS SAT (Owner)"",""link"":""https://www.google.com/maps/contrib/109633955484973586092""}","{""borough"":""Yakuplu"",""street"":""67. Sk. No:9"",""city"":""Beylikdüzü"",""postal_code"":""34520"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online classes"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true},{""name"":""Wheelchair-accessible seating"",""enabled"":true},{""name"":""Wheelchair-accessible toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free of charge street parking"",""enabled"":true},{""name"":""Free parking lot"",""enabled"":true},{""name"":""Paid parking lot"",""enabled"":true},{""name"":""Paid street parking"",""enabled"":true}]}]",[],null,
f3a8aeb3-42c3-476a-8cf4-220b139a8e96,https://www.google.com/maps/place/NB+EDUCATION+%C4%B0NG%C4%B0L%C4%B0ZCE+%C3%96ZEL+DERS/data=!4m7!3m6!1s0x14b55fa58ef62cc1:0x78473dd43d84b418!8m2!3d41.0231057!4d28.6322456!16s%2Fg%2F11fnnmy95h!19sChIJwSz2jqVftRQRGLSEPdQ9R3g?authuser=0&hl=en&rclk=1,NB EDUCATION İNGİLİZCE ÖZEL DERS,English language school,"Gokevler District 538. Street No: 4D/5A, D:24, 34552 Esenyurt/İstanbul, Türkiye",{},{},,+90 534 892 14 90,"2JFJ+6V Esenyurt, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.023106,28.632246,8666963989672277016,,,,,Europe/Istanbul,,0x14b55fa58ef62cc1:0x78473dd43d84b418,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""112629523823365818923"",""name"":""NB EDUCATION İNGİLİZCE ÖZEL DERS (Owner)"",""link"":""https://www.google.com/maps/contrib/112629523823365818923""}","{""borough"":""Gökevler"",""street"":""Gokevler District 538. Street No: 4D/5A, D:24"",""city"":""Esenyurt"",""postal_code"":""34552"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true}]}]",[],null,
