input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/OLAYLI+%C4%B0LKOKULU/data=!4m7!3m6!1s0x14cab90cab2f6119:0x388c654519b55545!8m2!3d41.0195561!4d28.9550167!16s%2Fg%2F11sx20zfrf!19sChIJGWEvqwy5yhQRRVW1GUVljDg?authuser=0&hl=en&rclk=1,OLAYLI İLKOKULU,Preschool,"Zeyrek, 34083 Fatih/İstanbul, Türkiye",{},{},,,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.019556,28.955017,4074743110321919301,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mh761vbImwGf9825cg96Mg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.95814&pitch=0&thumbfov=100,Europe/Istanbul,,0x14cab90cab2f6119:0x388c654519b55545,"[{""title"":""All"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mh761vbImwGf9825cg96Mg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=100.95814\u0026pitch=0\u0026thumbfov=100""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Mh761vbImwGf9825cg96Mg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=100.95814\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""OLAYLI İLKOKULU (Owner)"",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/%C4%B0stanbul+Fatih+29+May%C4%B1s+%C4%B0lkokulu/data=!4m7!3m6!1s0x14cab98ac4a07fc1:0x8a8c926ce0f6ba1e!8m2!3d41.0186079!4d28.955205!16s%2Fg%2F1td0782g!19sChIJwX-gxIq5yhQRHrr24GySjIo?authuser=0&hl=en&rclk=1,İstanbul Fatih 29 Mayıs İlkokulu,General education school,"Zeyrek, Ömer Efendi Sk. No:22, 34083 Fatih/İstanbul, Türkiye",{},{},http://29mayisilkokulu.meb.k12.tr/,+90 212 533 47 57,"2X94+C3 Fatih, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.018608,28.955205,9983515470301936158,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzPGWFyEy7QXPRbhwWdzfO-vxyGqmXhyiwUIotb0lv5L6rkqUXVo0d5U7T-F5I0QW5AYQXyjFFq5EFcxnb6bRCN1l-sAwdNZQOOiReJxIoc6-2RuvQqIRWC8PPJRiBWt-FgMHBczQ=w408-h306-k-no,Europe/Istanbul,,0x14cab98ac4a07fc1:0x8a8c926ce0f6ba1e,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzPGWFyEy7QXPRbhwWdzfO-vxyGqmXhyiwUIotb0lv5L6rkqUXVo0d5U7T-F5I0QW5AYQXyjFFq5EFcxnb6bRCN1l-sAwdNZQOOiReJxIoc6-2RuvQqIRWC8PPJRiBWt-FgMHBczQ=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g1NgB4MWCT6bUm2gZBNLBg\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=131.21175\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""116371605471365038130"",""name"":""İstanbul Fatih 29 Mayıs İlkokulu (Owner)"",""link"":""https://www.google.com/maps/contrib/116371605471365038130""}","{""borough"":""Zeyrek"",""street"":""Ömer Efendi Sk. No:22"",""city"":""Fatih"",""postal_code"":""34083"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Dogan+Koleji/data=!4m7!3m6!1s0x14cab8263e25e30d:0xcb3762ff5badc810!8m2!3d41.0186813!4d29.0123027!16s%2Fg%2F11j4921w7n!19sChIJDeMlPia4yhQREMitW_9iN8s?authuser=0&hl=en&rclk=1,Dogan Koleji,K-12 school,"Salacak, Bestekar Selahattin Pınar Sk. No:15, 34672 Üsküdar/İstanbul, Türkiye",{},{},http://www.dogankoleji.com/,+90 216 341 04 18,"2296+FW Üsküdar, İstanbul, Türkiye",2,4.500000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":1}",41.018681,29.012303,14643281562312755216,,,,https://lh3.googleusercontent.com/p/AF1QipNMnfW6Tk7pVG9FZmCS6U9f8ESYJ4EJhiH_9yYS=w408-h290-k-no,Europe/Istanbul,,0x14cab8263e25e30d:0xcb3762ff5badc810,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNMnfW6Tk7pVG9FZmCS6U9f8ESYJ4EJhiH_9yYS=w418-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipNxnZl2IlR37ZRVxyhR3hGFALodlNCpM3c_XuDr=w446-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PyNMGqLC8tvtsZS6IHZTUQ\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=245.13539\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""109997894330359092464"",""name"":""Dogan Koleji (Owner)"",""link"":""https://www.google.com/maps/contrib/109997894330359092464""}","{""borough"":""Salacak"",""street"":""Bestekar Selahattin Pınar Sk. No:15"",""city"":""Üsküdar"",""postal_code"":""34672"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Sokullu+Mehmet+Pasa+Ilkogretim+Okulu/data=!4m7!3m6!1s0x14cab8202567a04b:0x53c6777526169cfc!8m2!3d41.0177494!4d29.0222003!16s%2Fg%2F1tfswd43!19sChIJS6BnJSC4yhQR_JwWJnV3xlM?authuser=0&hl=en&rclk=1,Sokullu Mehmet Pasa Ilkogretim Okulu,Elementary school,"Valide-i Atik, Eski Toptaşı Cd. No:106, 34664 Üsküdar/İstanbul, Türkiye","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",{},http://sokullumehmetpasailkokulu.meb.k12.tr/meb_iys_dosyalar/34/22/736340/okulumuz_hakkinda.html,+90 216 553 31 21,"229C+3V Üsküdar, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.017749,29.022200,6036643695570623740,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJukGr30Aecd2P0P5oiY3WbqTBg2b0t9GLXQjzgk-wAY1esXgCkk3ZSdSLd3v-V-wi124JvwATkzzr8HNbbIpEJPLq3EC_AEd00q0i3-uCApQ1s5sIsUU1-FqyEUd0Oz9bqGfs8A=w408-h306-k-no,Europe/Istanbul,,0x14cab8202567a04b:0x53c6777526169cfc,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJukGr30Aecd2P0P5oiY3WbqTBg2b0t9GLXQjzgk-wAY1esXgCkk3ZSdSLd3v-V-wi124JvwATkzzr8HNbbIpEJPLq3EC_AEd00q0i3-uCApQ1s5sIsUU1-FqyEUd0Oz9bqGfs8A=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J7zmfp1GK_9o5Xn3jNQqKA\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=79.88141\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""102896288214152592471"",""name"":""Sokullu Mehmet Pasa Ilkogretim Okulu (Owner)"",""link"":""https://www.google.com/maps/contrib/102896288214152592471""}","{""borough"":""Validei Atik"",""street"":""Eski Toptaşı Cd. No:106"",""city"":""Üsküdar"",""postal_code"":""34664"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Hilmi+Celikoglu+Primary+School/data=!4m7!3m6!1s0x14cab7f4bcffcd65:0x573fae303a6e44bb!8m2!3d41.0229279!4d29.0238243!16s%2Fg%2F1tmcv9yp!19sChIJZc3_vPS3yhQRu0RuOjCuP1c?authuser=0&hl=en&rclk=1,Hilmi Celikoglu Primary School,Combined primary and secondary school,"Murat Reis, Hatmi Sk. No:13 D:2, 34664 Üsküdar/İstanbul, Türkiye",{},{},https://hilmicelikoglu.meb.k12.tr/,+90 216 553 44 94,"22FF+5G Üsküdar, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.022928,29.023824,6286935126994470075,,,,https://lh3.googleusercontent.com/p/AF1QipO3t36S4ZYOOu7yJKRUd-vLEOfXlg3psgDCQzTF=w408-h306-k-no,Europe/Istanbul,,0x14cab7f4bcffcd65:0x573fae303a6e44bb,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipO3t36S4ZYOOu7yJKRUd-vLEOfXlg3psgDCQzTF=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipO--B4D6cJHaaeBhTdI1UK01oDHl8z5i8GQobO5=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R5yrSqY9ea1JOmy5F5-z3g\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=68.88167\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""115512043727173351015"",""name"":""Hilmi Celikoglu Primary School (Owner)"",""link"":""https://www.google.com/maps/contrib/115512043727173351015""}","{""borough"":""Murat Reis"",""street"":""Hatmi Sk. No:13 D:2"",""city"":""Üsküdar"",""postal_code"":""34664"",""state"":""İstanbul"",""country"":""TR""}",null,[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Do%C4%9Fa+Koleji+%C3%9Csk%C3%BCdar+Kamp%C3%BCs%C3%BC/data=!4m7!3m6!1s0x14cab827922cf793:0x316e35deb2e6d753!8m2!3d41.0212455!4d29.012889!16s%2Fg%2F1tpfg74v!19sChIJk_cskie4yhQRU9fmst41bjE?authuser=0&hl=en&rclk=1,Doğa Koleji Üsküdar Kampüsü,Charter school,"Aziz Mahmut Hüdayi, Sümbülzade Sk. No:10, 34672 Üsküdar/İstanbul, Türkiye",{},{},http://www.dogaokullari.com/,+90 216 343 64 00,"22C7+F5 Üsküdar, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.021245,29.012889,3561843585897125715,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPyWQuyBUuNHRztxy83616XprhLV9Uq2O6SkKzoQ0ZHpCBODpsIGJcBUJziU-HO2FDI_CqU2zIULfeaqZRujUBssWbXMYcIfbmjWNNYxNFoCujch0DF3ojKDu84r4SkRrP7_nEUQ=w408-h306-k-no,Europe/Istanbul,,0x14cab827922cf793:0x316e35deb2e6d753,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPyWQuyBUuNHRztxy83616XprhLV9Uq2O6SkKzoQ0ZHpCBODpsIGJcBUJziU-HO2FDI_CqU2zIULfeaqZRujUBssWbXMYcIfbmjWNNYxNFoCujch0DF3ojKDu84r4SkRrP7_nEUQ=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMSBp1pJvHQAVuFFMQeqb5TK00rGEuAhzv7Smhv=w446-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtGMxw4GfJPA1GNNTsU-TuCHtfPQOgFpVx09sY2Ct7FI0fZxhIZHCAicyw-PmdAAp_WcLXbrWVbu7vCBeKOiruA5fgGn3ERGJEqNmvWyS5u3s2USnLE7K5uis07xPpGa1EME-q=w298-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxB-NxTGq61tGwWllCnb36WiSKrcdniuZA6ATM3jASwUHgC4JA_PjF03htf0R7d0cdRpPQ6Bn-fPoLmvCM-p83m5CFmMMYBrlZ2SnyvMrxuynCinn5X_4PVtdvPEYnNjxgKSzo=w224-h298-k-no-pi-21.38142-ya146.62146-ro-0.9919728-fo100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""109960916037561733067"",""name"":""Doğa Koleji Üsküdar Kampüsü (Owner)"",""link"":""https://www.google.com/maps/contrib/109960916037561733067""}","{""borough"":""Aziz Mahmut Hüdayi"",""street"":""Sümbülzade Sk. No:10"",""city"":""Üsküdar"",""postal_code"":""34672"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Ozel+Kalfayan+Ermeni+Ilkogretim+Okulu/data=!4m7!3m6!1s0x14cab7f0b476a151:0x68ebfcf3db0df219!8m2!3d41.0214586!4d29.0320677!16s%2Fg%2F11bc7fhfhs!19sChIJUaF2tPC3yhQRGfIN2_P862g?authuser=0&hl=en&rclk=1,Ozel Kalfayan Ermeni Ilkogretim Okulu,Combined primary and secondary school,"Murat Reis, YeniDershane Sok. No:16, 34664 Üsküdar/İstanbul, Türkiye","{""Friday"":[""8 am–5 pm""],""Monday"":[""8 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8 am–5 pm""],""Tuesday"":[""8 am–5 pm""],""Wednesday"":[""8 am–5 pm""]}",{},https://www.facebook.com/kalfayanokulu/,+90 216 492 97 81,"22CJ+HR Üsküdar, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.021459,29.032068,7560414523753886233,,,,https://lh3.googleusercontent.com/p/AF1QipOZ84i5i9D-VIB2CDKTKtD6id-MuDXlSEYDct1y=w408-h544-k-no,Europe/Istanbul,,0x14cab7f0b476a151:0x68ebfcf3db0df219,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/p/AF1QipOZ84i5i9D-VIB2CDKTKtD6id-MuDXlSEYDct1y=w224-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipOZ84i5i9D-VIB2CDKTKtD6id-MuDXlSEYDct1y=w224-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lh8b4AOqC7nv_SCXXwpl8g\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=225.33597\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Ozel Kalfayan Ermeni Ilkogretim Okulu (Owner)"",""link"":""""}","{""borough"":""Murat Reis"",""street"":""YeniDershane Sok. No:16"",""city"":""Üsküdar"",""postal_code"":""34664"",""state"":""İstanbul"",""country"":""TR""}",null,[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/3.+Selim+%C4%B0lkokulu/data=!4m7!3m6!1s0x14cab8251be97587:0xf57a241bfc4f44e7!8m2!3d41.0142684!4d29.0135045!16s%2Fg%2F1w6gn4zf!19sChIJh3XpGyW4yhQR50RP_BskevU?authuser=0&hl=en&rclk=1,3. Selim İlkokulu,Public educational institution,"Salacak, Köprülü Konak Sk., 34672 Üsküdar/İstanbul, Türkiye",{},{},http://3selimilkokulu.meb.k12.tr/tema/index.php,+90 216 492 98 64,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.014268,29.013504,17688490189066814695,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyf-9hOrvC6Gslcgu5Weity01DYkXR4mVe0IGSlmHdLGvh0sRorOwaZLTmEXaWj4sQXJca7AykuKSahFMtMTsOhi7pE3J7S1suJ99e1nIzRLtMHqz0fWgzpw3a99QwBcCCm1QVW=w408-h265-k-no,Europe/Istanbul,,0x14cab8251be97587:0xf57a241bfc4f44e7,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyf-9hOrvC6Gslcgu5Weity01DYkXR4mVe0IGSlmHdLGvh0sRorOwaZLTmEXaWj4sQXJca7AykuKSahFMtMTsOhi7pE3J7S1suJ99e1nIzRLtMHqz0fWgzpw3a99QwBcCCm1QVW=w458-h298-k-no""},{""title"":""Building"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziOYdHbzwW3zYkyoHGJZdh3kpusVr9o8yjDvCJzSqnfff3eQShOVlJNjxHH5FPPELn9wh8IWjiZBa18NozfapEza8yU0QSVK9KWz7cJLHugCwNTM0Qz5IwUzFYAuWvIEU2OcJk=w397-h298-k-no""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx0JSSO6E0jSOLp_PV4DAAG7VzX6DdFPIS7SBNkS862WZ-c4HMMKmOL9T3uY9tHXuQwAvHjeh89SdTj0ajngczt6j98BQWIPpEkQaXIdLC95ES2MIkHjqHEtDHWAT297uqQpFle=w529-h298-k-no""},{""title"":""Student"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyfJr_nNJcBJr7y2EFag2Fae7WfYb2wtxum5F1aJlfl6cotnWJcPrpYLuklZm-muq8plw-P7Masr4gNXH2JeTyDqn0R9UesumbvrNEKC_2QrZ7PJRATLvvovEFvUDFu_G8mkq90A=w397-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uWdWCpI9JEBZTmrdtQUlbw\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=165.79332\u0026pitch=0\u0026thumbfov=100""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""3. Selim İlkokulu (Owner)"",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""recycling"",""name"":""Recycling"",""options"":[{""name"":""Batteries"",""enabled"":true}]}]",[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/%C3%96zel+Langa+Rum+Ilk%C3%B6%C4%9Fretim+Okulu/data=!4m7!3m6!1s0x14cab98713bdf4d5:0xedb9a8d37d46093b!8m2!3d41.007054!4d28.9545646!16s%2Fg%2F11dymdqdfm!19sChIJ1fS9E4e5yhQROwlGfdOoue0?authuser=0&hl=en&rclk=1,Özel Langa Rum Ilköğretim Okulu,Parochial school,"Mimar Kemalettin, Hayriye Tüccarı Cd. 4/6, 34130 Fatih/İstanbul, Türkiye",{},{},https://okul.com.tr/ilkokul/istanbul/ozel-langa-rum-ilkokulu-3859,+90 212 516 70 94,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.007054,28.954565,17129908283973699899,,,,//lh4.googleusercontent.com/AMksrUx_RlLpZMH2umiyUBsVF2MmOCc5E91G2NUnR-IkxS1IXqqa_xj9i6t3XG-Fhg=w426-h240-k-no,Europe/Istanbul,,0x14cab98713bdf4d5:0xedb9a8d37d46093b,"[{""title"":""All"",""image"":""//lh4.googleusercontent.com/AMksrUx_RlLpZMH2umiyUBsVF2MmOCc5E91G2NUnR-IkxS1IXqqa_xj9i6t3XG-Fhg=w529-h298-k-no""},{""title"":""Street View \u0026 360°"",""image"":""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zx8c2NrsQSP2GNeWYcWe4g\u0026cb_client=maps_sv.tactile.gps\u0026w=224\u0026h=298\u0026yaw=191.92815\u0026pitch=0\u0026thumbfov=100""},{""title"":""Videos"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqi38gGJ4A0dcxjgLb1hsH44lI4oIKNPjKPHpGFQoeG3HPC_iNozK_gYEGUGJ8fdxbEcXykUbn93kA78msyw0BY8YfoVlzhtMnjoAj4pRR_Ey39PhY5a5hOUigOkowHLt8BTbS=w224-h398-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Özel Langa Rum Ilköğretim Okulu (Owner)"",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,[],null,
c6d9da86-e5ab-4ece-80a1-2fa4745ef2f0,https://www.google.com/maps/place/Firuzaga+Ilkogretim+Okulu/data=!4m7!3m6!1s0x14cab9df4ee79b81:0x51837e9b288b96a5!8m2!3d41.0304122!4d28.9819305!16s%2Fg%2F1vkr0tnr!19sChIJgZvnTt-5yhQRpZaLKJt-g1E?authuser=0&hl=en&rclk=1,Firuzaga Ilkogretim Okulu,Elementary school,"Firuzağa, Türkgücü Cd. No:64, 34425 Beyoğlu/İstanbul, Türkiye","{""Friday"":[""8:30 am–5 pm""],""Monday"":[""8:30 am–5 pm""],""Saturday"":[""9 am–11:30 pm""],""Sunday"":[""9 am–11:30 pm""],""Thursday"":[""8:30 am–5 pm""],""Tuesday"":[""8:30 am–5 pm""],""Wednesday"":[""8:30 am–5 pm""]}",{},http://firuzagailkokulu.meb.k12.tr/,+90 212 245 26 15,"2XJJ+5Q Beyoğlu, İstanbul, Türkiye",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",41.030412,28.981930,5873677543886526117,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVmcsvu6w5fTwXmeXrIk-pKPtRvyS2MVRmd2v5GPEj3EdfnJ7mF-9FmaCsnBWvtChTwYCJrXIZ_BsuMsdDqOuDhdbQADVzhhMCfhDu2UpqbLgAZBEwgOpPr5G0Si0hP6sDPJWB=w408-h306-k-no,Europe/Istanbul,,0x14cab9df4ee79b81:0x51837e9b288b96a5,"[{""title"":""All"",""image"":""https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVmcsvu6w5fTwXmeXrIk-pKPtRvyS2MVRmd2v5GPEj3EdfnJ7mF-9FmaCsnBWvtChTwYCJrXIZ_BsuMsdDqOuDhdbQADVzhhMCfhDu2UpqbLgAZBEwgOpPr5G0Si0hP6sDPJWB=w397-h298-k-no""},{""title"":""By owner"",""image"":""https://lh3.googleusercontent.com/p/AF1QipMqAv1T69aZxyahCaETU6-h4gGl4eMJE_TgD4Xv=w224-h298-k-no""}]",null,null,"{""link"":"""",""source"":""""}","{""id"":""102077483860297810356"",""name"":""Firuzaga Ilkogretim Okulu (Owner)"",""link"":""https://www.google.com/maps/contrib/102077483860297810356""}","{""borough"":""Firuzağa"",""street"":""Türkgücü Cd. No:64"",""city"":""Beyoğlu"",""postal_code"":""34425"",""state"":""İstanbul"",""country"":""TR""}","[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":true},{""name"":""Wheelchair-accessible entrance"",""enabled"":true}]}]",[],null,
